Currency,Total Price,Base Price,Fee Amount,Grand Total Price,Additional fees,Fee Type
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.84,1001.00,"['0.00', '0.00']",1233.84,[],[]
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
