numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Branded Fare Labels,Included Checked Bags Quantities,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,Departure Time,Arrival Time,Day of Week Departure,Day Type Departure,Log Grand Total Price
1,AY,3.4094961844768505,1,ECONOMY LIGHT,0,2.0, LGW,8.0,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,6.1440139455682665
1,AY,3.455264602932431,1,ECONOMY LIGHT,0,2.0, LGW,8.0,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,6.1440139455682665
1,AY,3.5165082281731497,1,ECONOMY LIGHT,0,2.0, LGW,8.0,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,6.1440139455682665
9,AY,2.4709204078132605,1,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,6.167306825304179
9,AY,2.538973871058276,1,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,6.167306825304179
9,AY,2.793208009442517,1,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,Morning,Evening,Tuesday,Weekday,6.167306825304179
9,AY,2.908720896564361,1,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,Morning,Evening,Tuesday,Weekday,6.167306825304179
9,AY,3.3956263366127,1,ECONOMY LIGHT,0,1.5833333333333337, HEL,8.75,No layover,0.0,Evening,Evening,Tuesday,Weekday,6.167306825304179
9,AY,3.468336684499784,1,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,6.167306825304179
1,AY,2.412933150162911,1,ECONOMY LIGHT,0,2.083333333333333, LHR,7.833333333333333,No layover,0.0,Morning,Afternoon,Tuesday,Weekday,6.167851864413745
1,AY,2.4423470353692043,1,ECONOMY LIGHT,0,2.0, LHR,7.833333333333333,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,6.167851864413745
1,AY,2.5257286443082556,1,ECONOMY LIGHT,0,2.083333333333333, LHR,7.833333333333333,No layover,0.0,Morning,Afternoon,Tuesday,Weekday,6.167851864413745
1,AY,2.538973871058276,1,ECONOMY LIGHT,0,2.0, LHR,8.0,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,6.167851864413745
1,AY,2.6026896854443837,1,ECONOMY LIGHT,0,2.0, LHR,7.833333333333333,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,6.167851864413745
1,AY,2.6567569067146595,1,ECONOMY LIGHT,0,2.083333333333333, LHR,7.916666666666667,No layover,0.0,Morning,Evening,Tuesday,Weekday,6.167851864413745
1,AY,2.7777835391168852,1,ECONOMY LIGHT,0,2.083333333333333, LHR,8.0,No layover,0.0,Morning,Evening,Tuesday,Weekday,6.167851864413745
1,AY,2.8282993292537872,1,ECONOMY LIGHT,0,2.083333333333333, LHR,7.833333333333333,No layover,0.0,Morning,Evening,Tuesday,Weekday,6.167851864413745
1,AY,2.9661318037777,1,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,Evening,Morning,Tuesday,Weekday,6.167851864413745
1,AY,3.036554268074246,1,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,Evening,Afternoon,Tuesday,Weekday,6.167851864413745
1,AY,3.1463051320333655,1,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,Afternoon,Morning,Tuesday,Weekday,6.167851864413745
1,AY,3.1986731175506815,1,ECONOMY LIGHT,0,2.0, LHR,7.833333333333333,No layover,0.0,Evening,Afternoon,Tuesday,Weekday,6.167851864413745
1,AY,3.20545280453606,1,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,Afternoon,Morning,Tuesday,Weekday,6.167851864413745
9,FI,2.412933150162911,1,ECONOMY LIGHT,0,3.333333333333333, KEF,6.166666666666667,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,6.1775913547429155
9,FI,2.4277482359480516,1,ECONOMY LIGHT,0,3.25, KEF,6.333333333333333,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,6.1775913547429155
9,FI,2.6508917872622613,1,ECONOMY LIGHT,0,3.333333333333333, KEF,6.333333333333333,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,6.1775913547429155
9,FI,3.036554268074246,1,ECONOMY LIGHT,0,3.333333333333333, KEF,6.333333333333333,No layover,0.0,Morning,Evening,Tuesday,Weekday,6.1775913547429155
4,IB,2.8810693652338513,1,BASIC,0,3.0, BCN,8.916666666666666,No layover,0.0,Morning,Evening,Tuesday,Weekday,6.180947896929556
9,IB,3.212186836717404,1,BASIC,0,3.1666666666666665, MAD,8.25,No layover,0.0,Evening,Afternoon,Tuesday,Weekday,6.204618366792824
9,IB,3.370165272414426,1,BASIC,0,3.1666666666666665, MAD,8.583333333333334,No layover,0.0,Evening,Evening,Tuesday,Weekday,6.204618366792824
9,LO,3.2708355637989115,1,ECONOMY NO BAG,0,1.4166666666666667, WAW,9.333333333333334,No layover,0.0,Evening,Afternoon,Tuesday,Weekday,6.309117958055747
9,LO,3.431295412819435,1,ECONOMY NO BAG,0,1.4166666666666667, WAW,9.5,No layover,0.0,Evening,Evening,Tuesday,Weekday,6.309117958055747
1,AY,3.1245651453969594,1,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,Evening,Afternoon,Tuesday,Weekday,6.340641450869357
9,LO,2.691243082785829,1,ECONOMY NO BAG,0,1.4166666666666667, WAW,9.333333333333334,No layover,0.0,Morning,Afternoon,Tuesday,Weekday,6.4450211626834
9,LO,2.751535313041949,1,ECONOMY NO BAG,0,1.4166666666666667, WAW,9.5,No layover,0.0,Morning,Evening,Tuesday,Weekday,6.4450211626834
9,LO,2.9618307218783095,1,ECONOMY NO BAG,0,1.4166666666666667, WAW,9.5,No layover,0.0,Morning,Evening,Tuesday,Weekday,6.4450211626834
4,LO,2.5964977151964628,1,ECONOMY STANDARD,1,1.3333333333333333, WAW,9.5,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,6.499125167530816
4,LO,3.364418130158859,1,ECONOMY STANDARD,1,1.3333333333333333, WAW,9.333333333333334,No layover,0.0,Afternoon,Afternoon,Tuesday,Weekday,6.499125167530816
9,TK,2.782951509275328,1,RESTRICTED,2,3.25, IST,10.666666666666666,No layover,0.0,Evening,Morning,Tuesday,Weekday,6.628649656747857
9,TK,2.899588413001089,1,RESTRICTED,2,3.4166666666666665, IST,10.75,No layover,0.0,Morning,Evening,Tuesday,Weekday,6.628649656747857
9,TK,3.131864447878571,1,RESTRICTED,2,3.25, IST,10.75,No layover,0.0,Evening,Afternoon,Tuesday,Weekday,6.628649656747857
9,TK,3.3292238820370663,1,RESTRICTED,2,3.25, IST,10.75,No layover,0.0,Evening,Evening,Tuesday,Weekday,6.628649656747857
9,UX,2.8763855159214247,2,STANDARD,1,1.4166666666666667, AMS,2.6666666666666665, MAD,8.25,Morning,Afternoon,Tuesday,Weekday,6.921658184151129
9,UX,2.8763855159214247,2,STANDARD,1,1.4166666666666667, AMS,2.583333333333333, MAD,8.25,Morning,Afternoon,Tuesday,Weekday,6.921658184151129
9,AZ,2.922265121672118,2,ECONOMY FLEX,1,2.083333333333333, CDG,2.083333333333333, FCO,9.75,Morning,Evening,Tuesday,Weekday,6.96719331473075
9,AC,2.7069384722495196,1,BASIC,0,7.583333333333333, YUL,1.8166666666666669,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,7.010726943606016
9,UA,2.7069384722495196,1,BASIC ECONOMY,0,7.583333333333333, YUL,1.8166666666666669,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,7.010726943606016
9,UA,2.477937980471907,1,BASIC ECONOMY,0,1.5833333333333337, MUC,8.916666666666666,No layover,0.0,Morning,Afternoon,Tuesday,Weekday,7.013654649431639
9,UA,2.498699971920336,1,BASIC ECONOMY,0,1.5833333333333337, BRU,8.416666666666666,No layover,0.0,Morning,Afternoon,Tuesday,Weekday,7.014122287955589
9,AC,2.77050321574876,1,BASIC,0,8.25, YYZ,1.8833333333333333,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,7.0155598056105735
9,UA,2.77050321574876,1,BASIC ECONOMY,0,8.25, YYZ,1.8833333333333333,No layover,0.0,Afternoon,Evening,Tuesday,Weekday,7.0155598056105735
