numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Grand Total Price,Branded Fare Labels,Included Checked Bags Quantities,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,Flight depature date,Departure Time,Arrival Time,Day of Week Departure,Day Type Departure,Log Grand Total Price
9,AY,11.833333333333334,1,476.9,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.167306825304179
9,AY,12.666666666666666,1,476.9,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.167306825304179
9,AY,16.333333333333332,1,476.9,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,2024-06-18,Morning,Evening,Tuesday,Weekday,6.167306825304179
9,AY,18.33333333333333,1,476.9,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,2024-06-18,Morning,Evening,Tuesday,Weekday,6.167306825304179
9,AY,29.83333333333333,1,476.9,ECONOMY LIGHT,0,1.5833333333333337, HEL,8.75,No layover,0.0,2024-06-18,Evening,Evening,Tuesday,Weekday,6.167306825304179
9,AY,32.083333333333336,1,476.9,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.167306825304179
1,AY,11.166666666666666,1,477.16,ECONOMY LIGHT,0,2.083333333333333, LHR,7.833333333333333,No layover,0.0,2024-06-18,Morning,Afternoon,Tuesday,Weekday,6.167851864413745
1,AY,11.5,1,477.16,ECONOMY LIGHT,0,2.0, LHR,7.833333333333333,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.167851864413745
1,AY,12.5,1,477.16,ECONOMY LIGHT,0,2.083333333333333, LHR,7.833333333333333,No layover,0.0,2024-06-18,Morning,Afternoon,Tuesday,Weekday,6.167851864413745
1,AY,12.666666666666666,1,477.16,ECONOMY LIGHT,0,2.0, LHR,8.0,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.167851864413745
1,AY,13.5,1,477.16,ECONOMY LIGHT,0,2.0, LHR,7.833333333333333,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.167851864413745
1,AY,14.25,1,477.16,ECONOMY LIGHT,0,2.083333333333333, LHR,7.916666666666667,No layover,0.0,2024-06-18,Morning,Evening,Tuesday,Weekday,6.167851864413745
1,AY,16.083333333333332,1,477.16,ECONOMY LIGHT,0,2.083333333333333, LHR,8.0,No layover,0.0,2024-06-18,Morning,Evening,Tuesday,Weekday,6.167851864413745
1,AY,16.916666666666668,1,477.16,ECONOMY LIGHT,0,2.083333333333333, LHR,7.833333333333333,No layover,0.0,2024-06-18,Morning,Evening,Tuesday,Weekday,6.167851864413745
1,AY,19.416666666666668,1,477.16,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,2024-06-18,Evening,Morning,Tuesday,Weekday,6.167851864413745
1,AY,20.83333333333333,1,477.16,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,2024-06-18,Evening,Afternoon,Tuesday,Weekday,6.167851864413745
1,AY,23.25,1,477.16,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,2024-06-18,Afternoon,Morning,Tuesday,Weekday,6.167851864413745
1,AY,24.5,1,477.16,ECONOMY LIGHT,0,2.0, LHR,7.833333333333333,No layover,0.0,2024-06-18,Evening,Afternoon,Tuesday,Weekday,6.167851864413745
1,AY,24.666666666666668,1,477.16,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,2024-06-18,Afternoon,Morning,Tuesday,Weekday,6.167851864413745
9,FI,11.166666666666666,1,481.83,ECONOMY LIGHT,0,3.333333333333333, KEF,6.166666666666667,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.1775913547429155
9,FI,11.333333333333334,1,481.83,ECONOMY LIGHT,0,3.25, KEF,6.333333333333333,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.1775913547429155
9,FI,14.166666666666666,1,481.83,ECONOMY LIGHT,0,3.333333333333333, KEF,6.333333333333333,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.1775913547429155
9,FI,20.83333333333333,1,481.83,ECONOMY LIGHT,0,3.333333333333333, KEF,6.333333333333333,No layover,0.0,2024-06-18,Morning,Evening,Tuesday,Weekday,6.1775913547429155
4,IB,17.833333333333332,1,483.45,BASIC,0,3.0, BCN,8.916666666666666,No layover,0.0,2024-06-18,Morning,Evening,Tuesday,Weekday,6.180947896929556
9,IB,24.83333333333333,1,495.03,BASIC,0,3.1666666666666665, MAD,8.25,No layover,0.0,2024-06-18,Evening,Afternoon,Tuesday,Weekday,6.204618366792824
9,IB,29.08333333333333,1,495.03,BASIC,0,3.1666666666666665, MAD,8.583333333333334,No layover,0.0,2024-06-18,Evening,Evening,Tuesday,Weekday,6.204618366792824
9,LO,26.33333333333333,1,549.56,ECONOMY NO BAG,0,1.4166666666666667, WAW,9.333333333333334,No layover,0.0,2024-06-18,Evening,Afternoon,Tuesday,Weekday,6.309117958055747
9,LO,30.916666666666668,1,549.56,ECONOMY NO BAG,0,1.4166666666666667, WAW,9.5,No layover,0.0,2024-06-18,Evening,Evening,Tuesday,Weekday,6.309117958055747
